"Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"produits sucrés","chocolats et produits à base de chocolat","Confiserie au chocolat dragéifiée",10.5,0.00000277,0.795,0.0221,3.62e-7,6.81e-8,5.37e-9,0.0469,0.0013,0.0333,0.195,81.1,463,6.07,58.1,0.000078
"produits sucrés","chocolats et produits à base de chocolat","Pâte à tartiner chocolat et noisette",9.11,8.74e-8,0.764,0.0202,3.93e-7,9.26e-8,5.33e-9,0.0525,0.00104,0.034,0.226,67.4,460,2.72,44.4,0.000012
"produits sucrés","chocolats et produits à base de chocolat","Rocher chocolat fourré praliné",10.5,0.00000277,0.795,0.0221,3.62e-7,6.81e-8,5.37e-9,0.0469,0.0013,0.0333,0.195,81.1,463,6.07,58.1,0.000078
"produits sucrés","confiseries non chocolatées","Bonbon au caramel, mou",2.12,7.3e-7,0.539,0.00554,1.57e-7,2.36e-8,1.31e-9,0.0199,0.000449,0.00909,0.0802,46.8,85,2.3,26.1,0.0000292
"produits sucrés","confiseries non chocolatées","Bonbon dur et sucette",1.62,7.28e-7,0.119,0.00511,1.08e-7,1.44e-8,1.21e-9,0.0121,0.000453,0.00601,0.0448,44.6,55.4,2.44,19.2,0.0000295
"produits sucrés","confiseries non chocolatées","Bonbon gélifié",1.49,7.23e-7,0.194,0.00439,9.97e-8,1.56e-8,1.2e-9,0.0114,0.000423,0.00575,0.0431,42.5,57.6,2.13,18.2,0.0000285
"produits sucrés","confiseries non chocolatées","Bonbons, tout type",1.41,7.26e-7,0.513,0.00433,9.56e-8,1.75e-8,1.06e-9,0.0115,0.000428,0.00642,0.0437,41.4,56.1,2.27,23.9,0.0000287
"produits sucrés","confiseries non chocolatées","Calissons d'Aix en Provence",0.859,7.04e-7,0.5,0.00305,8.77e-8,3.73e-9,4.25e-10,0.0103,0.000153,0.00381,0.0415,10,24.3,1.16,20.3,0.0000206
"produits sucrés","confiseries non chocolatées","Dragée amande",1.77,7.17e-7,0.51,0.00976,2.41e-7,3.6e-8,1.84e-9,0.0337,0.000497,0.0145,0.141,109,167,13,27.6,0.0000251
"produits sucrés","confiseries non chocolatées","Guimauve ou marshmallow",1.52,7.26e-7,0.251,0.00444,1.02e-7,1.56e-8,1.22e-9,0.0117,0.000439,0.00578,0.0441,44.8,56.4,2.25,19.7,0.0000291
"produits sucrés","confiseries non chocolatées","Nougat ou touron",2.05,7.27e-7,0.524,0.0109,2.56e-7,5.19e-8,2.26e-9,0.0356,0.000588,0.0155,0.147,122,183,13.5,30.4,0.0000281
"produits sucrés","confiseries non chocolatées","Pâte de fruits",1.39,8.67e-7,0.632,0.00488,1.26e-7,2.06e-8,1.17e-9,0.0143,0.000346,0.007,0.0559,74.8,71.4,5.42,27.6,0.0000266
"produits sucrés","confitures et assimilés","Confiture d'abricot (extra ou classique)",1.69,7.82e-8,0.706,0.00603,1.33e-7,1.68e-8,1.49e-9,0.0138,0.000309,0.0238,0.0511,24.8,332,2.25,31.9,0.00000687
"produits sucrés","confitures et assimilés","Confiture de cerise (extra ou classique)",2.2,8.91e-8,0.699,0.00832,1.61e-7,3.86e-8,2.59e-9,0.0181,0.000571,0.00624,0.0655,106,975,7.26,37.8,0.0000108
"produits sucrés","confitures et assimilés","Confiture de fraise (extra ou classique)",1.75,3.52e-7,0.702,0.0072,1.7e-7,2.4e-8,1.98e-9,0.0171,0.000291,0.00718,0.0633,105,78.6,7.57,34.2,0.00000732
"produits sucrés","confitures et assimilés","Confiture de framboise (extra ou classique)",2.22,9.13e-8,0.683,0.0114,3e-7,4.44e-8,2.99e-9,0.0382,0.000455,0.0137,0.156,64.1,95.5,2.56,36.9,0.00000956
"produits sucrés","confitures et assimilés","Confiture de lait",2.06,7.75e-8,0.694,0.00624,1.69e-7,1.78e-8,1.59e-9,0.02,0.000244,0.00627,0.0779,23.8,58,0.887,30.3,0.00000554
"produits sucrés","confitures et assimilés","Confiture, tout type de fruits, allégée en sucres (extra ou classique)",1.75,3.52e-7,0.702,0.0072,1.7e-7,2.4e-8,1.98e-9,0.0171,0.000291,0.00718,0.0633,105,78.6,7.57,34.2,0.00000732
"produits sucrés","confitures et assimilés","Marmelade d'orange",1.4,7.45e-8,0.662,0.00552,1.04e-7,1.83e-8,1.35e-9,0.0105,0.000211,0.00366,0.0359,18.3,25.3,4.5,29.1,0.00000463
"produits sucrés","sucres, miels et assimilés","Édulcorant à la saccharine",0.746,1.22e-8,0.099,0.00332,1.31e-7,-1.18e-8,2.56e-10,0.0166,0.000176,0.0053,0.0702,10.9,31.9,1.8,9.66,0.0000043
"produits sucrés","sucres, miels et assimilés","Fructose",1.92,3.01e-8,0.175,0.00769,1.36e-7,3.08e-8,1.21e-9,0.0147,0.000657,0.00571,0.0491,42.2,30.2,4.52,23.1,0.0000218
"produits sucrés","sucres, miels et assimilés","Mélasse de canne",1.04,7.74e-8,0.0859,0.00583,1.15e-7,2.01e-7,1.48e-8,0.0143,0.000286,0.00672,0.0605,350,90.7,6.6,9.21,0.00000514
"produits sucrés","sucres, miels et assimilés","Miel",1.57,6.22e-8,0.184,0.00741,1.69e-7,4.32e-8,1.17e-9,0.019,0.000243,0.00464,0.073,19.8,37.9,1.62,22.4,0.00000836
"produits sucrés","sucres, miels et assimilés","Sucre blanc",0.746,1.22e-8,0.099,0.00332,1.31e-7,-1.18e-8,2.56e-10,0.0166,0.000176,0.0053,0.0702,10.9,31.9,1.8,9.66,0.0000043
"produits sucrés","sucres, miels et assimilés","Sucre roux",1.04,7.74e-8,0.0859,0.00583,1.15e-7,2.01e-7,1.48e-8,0.0143,0.000286,0.00672,0.0605,350,90.7,6.6,9.21,0.00000514
"produits sucrés","sucres, miels et assimilés","Sucre vanillé",1.03,1.97e-8,0.133,0.00423,1.52e-7,-8.63e-9,3.83e-10,0.0178,0.000274,0.00646,0.073,14.1,40.5,1.9,12.8,0.00000561
"viandes, œufs, poissons","autres produits à base de viande","Boeuf, boulettes cuites",32.2,1.65e-7,2.6,0.0498,0.00000301,4.78e-7,1.33e-8,0.443,0.00153,0.0979,1.96,169,2080,3.17,111,0.0000483
"viandes, œufs, poissons","autres produits à base de viande","Brochette d'agneau",52.5,2.62e-7,1.96,0.0872,0.00000737,9.64e-7,2.58e-8,1.08,0.00265,0.204,4.79,267,5580,8.89,132,0.0000701
"viandes, œufs, poissons","autres produits à base de viande","Brochette de boeuf",37,1.69e-7,1.68,0.0555,0.00000347,5.38e-7,1.47e-8,0.511,0.00162,0.108,2.26,187,2390,3.19,96.2,0.0000522
"viandes, œufs, poissons","autres produits à base de viande","Brochette de porc, crue",4.65,7.55e-8,1.03,0.012,4.89e-7,6.9e-8,3.29e-9,0.0653,0.000676,0.0197,0.277,123,264,3.26,49.5,0.0000204
"viandes, œufs, poissons","autres produits à base de viande","Brochette de volaille",7.61,1.52e-7,1.23,0.0281,0.00000145,1.21e-7,8.05e-9,0.196,0.00144,0.0437,0.851,221,445,3.41,85.9,0.000036
"viandes, œufs, poissons","autres produits à base de viande","Brochette mixte de viande",4.74,7.91e-8,1.57,0.0123,4.95e-7,7.35e-8,3.39e-9,0.0659,0.000712,0.0198,0.278,124,265,3.29,61.4,0.0000245
"viandes, œufs, poissons","autres produits à base de viande","Cordon bleu de volaille",5.44,1.13e-7,1.47,0.0194,9.25e-7,8.65e-8,5.45e-9,0.124,0.00107,0.0297,0.535,140,310,2.16,70.1,0.0000259
"viandes, œufs, poissons","autres produits à base de viande","Dinde, escalope viennoise ou milanaise ou escalope panée",5.22,1.14e-7,1.47,0.0197,9.21e-7,8.54e-8,5.59e-9,0.123,0.0011,0.03,0.531,145,311,2.26,70.6,0.0000261
"viandes, œufs, poissons","autres produits à base de viande","Haché à base de bœuf ou Préparation de viande hachée de boeuf, 15% MG, cru",17.5,9.77e-8,1.31,0.0276,0.00000162,2.53e-7,7.28e-9,0.238,0.000884,0.0536,1.05,95.4,1120,1.69,61.7,0.0000256
"viandes, œufs, poissons","autres produits à base de viande","Poulet, croquette panée ou nuggets",3.87,8.48e-8,1.37,0.0138,6.04e-7,6.04e-8,3.86e-9,0.0798,0.000791,0.0207,0.342,92.5,220,1.51,58,0.0000199
"viandes, œufs, poissons","autres produits à base de viande","Poulet, escalope panée",7.41,1.49e-7,1.29,0.028,0.00000137,1.16e-7,7.85e-9,0.184,0.00138,0.043,0.8,213,445,3.22,82.3,0.0000343
"viandes, œufs, poissons","autres produits à base de viande","Poulet, manchons marinés, rôtis/cuits au four",7.8,1.59e-7,1.28,0.0295,0.00000147,1.23e-7,8.19e-9,0.199,0.00143,0.0442,0.861,223,450,3.43,86.4,0.0000363
"viandes, œufs, poissons","autres produits à base de viande","Veau, escalope panée, cuite",23.1,2.7e-7,2.05,0.0416,0.00000186,2.6e-7,1.22e-8,0.265,0.00181,0.0723,1.14,311,1060,3.28,124,0.0000486
"viandes, œufs, poissons","autres produits à base de viande","Volaille, croquette panée ou nuggets",3.87,8.48e-8,1.37,0.0138,6.04e-7,6.04e-8,3.86e-9,0.0798,0.000791,0.0207,0.342,92.5,220,1.51,58,0.0000199
"viandes, œufs, poissons","charcuteries","Andouille",11.9,1.28e-7,2.04,0.0237,0.00000125,1.53e-7,7.19e-9,0.176,0.00118,0.0455,0.766,228,699,2.72,79.4,0.000038
"viandes, œufs, poissons","charcuteries","Andouille de Guéméné",11.9,1.28e-7,2.04,0.0237,0.00000125,1.53e-7,7.19e-9,0.176,0.00118,0.0455,0.766,228,699,2.72,79.4,0.000038
"viandes, œufs, poissons","charcuteries","Andouille de Vire",11.9,1.28e-7,2.04,0.0237,0.00000125,1.53e-7,7.19e-9,0.176,0.00118,0.0455,0.766,228,699,2.72,79.4,0.000038
"viandes, œufs, poissons","charcuteries","Andouille, réchauffée à la poêle",11.9,1.28e-7,2.04,0.0237,0.00000125,1.53e-7,7.19e-9,0.176,0.00118,0.0455,0.766,228,699,2.72,79.4,0.000038
"viandes, œufs, poissons","charcuteries","Andouillette de Troyes, crue",11.8,1.24e-7,1.5,0.0233,0.00000125,1.49e-7,7.08e-9,0.176,0.00115,0.0454,0.765,228,699,2.68,67.4,0.0000339
"viandes, œufs, poissons","charcuteries","Andouillette, crue",11.8,1.24e-7,1.5,0.0233,0.00000125,1.49e-7,7.08e-9,0.176,0.00115,0.0454,0.765,228,699,2.68,67.4,0.0000339
"viandes, œufs, poissons","charcuteries","Andouillette, sautée/poêlée",11.9,1.28e-7,2.04,0.0237,0.00000125,1.53e-7,7.19e-9,0.176,0.00118,0.0455,0.766,228,699,2.72,79.4,0.000038
"viandes, œufs, poissons","charcuteries","Boudin blanc truffé, cru",12.1,1.31e-7,1.53,0.0242,0.00000126,1.51e-7,7.23e-9,0.177,0.00123,0.0458,0.767,229,704,2.79,72.6,0.0000348
"viandes, œufs, poissons","charcuteries","Boudin noir, rayon frais",2.11,4.71e-8,1.33,0.00597,1.73e-7,2.68e-8,1.57e-9,0.0212,0.000369,0.0088,0.0861,35.2,97.4,0.634,43.9,0.0000123
"viandes, œufs, poissons","charcuteries","Boudin noir, sauté/poêlé",2.11,4.71e-8,1.33,0.00597,1.73e-7,2.68e-8,1.57e-9,0.0212,0.000369,0.0088,0.0861,35.2,97.4,0.634,43.9,0.0000123
"viandes, œufs, poissons","charcuteries","Bresaola",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Canard, magret fumé",16.1,7.15e-7,8.35,0.039,0.00000208,1.47e-7,1.2e-8,0.286,0.00279,0.0659,1.23,258,708,5.34,281,0.0000515
"viandes, œufs, poissons","charcuteries","Cervelas",7.16,1.15e-7,2.14,0.017,7.92e-7,8.36e-8,5.29e-9,0.107,0.00101,0.0311,0.459,203,376,2.34,76.7,0.0000331
"viandes, œufs, poissons","charcuteries","Cervelas à l'ail, pur porc",5.3,8.56e-8,1.72,0.0126,5.85e-7,6.28e-8,3.93e-9,0.0794,0.000756,0.023,0.339,150,277,1.73,59.6,0.0000255
"viandes, œufs, poissons","charcuteries","Cervelas obernois",5.3,8.56e-8,1.72,0.0126,5.85e-7,6.28e-8,3.93e-9,0.0794,0.000756,0.023,0.339,150,277,1.73,59.6,0.0000255
"viandes, œufs, poissons","charcuteries","Chair à saucisse, crue",6.23,9.52e-8,1.22,0.0149,6.8e-7,6.77e-8,4.45e-9,0.0924,0.000848,0.0266,0.395,174,324,2.06,54.4,0.0000243
"viandes, œufs, poissons","charcuteries","Chair à saucisse, porc et bœuf, crue",5.39,8.42e-8,1.18,0.013,5.82e-7,5.85e-8,3.82e-9,0.0786,0.000742,0.0228,0.336,148,275,1.78,50.4,0.0000212
"viandes, œufs, poissons","charcuteries","Chair à saucisse, pur porc, crue",5.39,8.42e-8,1.18,0.013,5.82e-7,5.85e-8,3.82e-9,0.0786,0.000742,0.0228,0.336,148,275,1.78,50.4,0.0000212
"viandes, œufs, poissons","charcuteries","Chipolata, crue",5.39,8.42e-8,1.18,0.013,5.82e-7,5.85e-8,3.82e-9,0.0786,0.000742,0.0228,0.336,148,275,1.78,50.4,0.0000212
"viandes, œufs, poissons","charcuteries","Chipolata, cuite",7.23,1.15e-7,2.1,0.0176,7.76e-7,8.19e-8,5.17e-9,0.105,0.00102,0.0303,0.446,197,365,2.39,78.6,0.0000322
"viandes, œufs, poissons","charcuteries","Chorizo",7.42,1.17e-7,2.71,0.0174,8.12e-7,8.61e-8,5.5e-9,0.11,0.00107,0.0319,0.468,206,383,2.38,89,0.0000342
"viandes, œufs, poissons","charcuteries","Chorizo supérieur, doux ou fort, type charcuterie en tranches",7.42,1.17e-7,2.71,0.0174,8.12e-7,8.61e-8,5.5e-9,0.11,0.00107,0.0319,0.468,206,383,2.38,89,0.0000342
"viandes, œufs, poissons","charcuteries","Chorizo supérieur, doux ou fort, type saucisse sèche",7.33,1.13e-7,2.18,0.0171,8.06e-7,8.15e-8,5.4e-9,0.109,0.00103,0.0318,0.467,206,383,2.34,77,0.0000301
"viandes, œufs, poissons","charcuteries","Confit de canard",6.33,3.78e-7,3.49,0.0147,6.55e-7,5.22e-8,6.94e-9,0.0819,0.000937,0.0185,0.348,74.8,203,1.56,113,0.0000281
"viandes, œufs, poissons","charcuteries","Confit de canard, viande (cuisse), sans peau, réchauffé",7.76,1.67e-7,1.76,0.0299,0.00000151,1.31e-7,1.34e-8,0.202,0.00158,0.0457,0.875,227,458,3.4,94.3,0.0000368
"viandes, œufs, poissons","charcuteries","Confit de foie de porc",3.73,1.32e-7,0.761,0.0107,3.47e-7,3.83e-8,3.45e-9,0.0434,0.000493,0.0125,0.177,85.8,143,1.06,40.3,0.000013
"viandes, œufs, poissons","charcuteries","Confit de foie de volaille",2.42,1.19e-7,0.404,0.00937,3.02e-7,2.96e-8,2.9e-9,0.0369,0.000375,0.00854,0.151,49.3,80.9,0.773,31,0.00000833
"viandes, œufs, poissons","charcuteries","Coppa",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Dés, allumettes, râpé ou haché de jambon",7.66,0.0000017,1.79,0.0181,7.96e-7,8.42e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,373,2.47,77.7,0.0000653
"viandes, œufs, poissons","charcuteries","Dés, allumettes, râpé ou haché de jambon de volaille",5.91,0.0000016,0.569,0.0218,0.0000011,9.24e-8,6.17e-9,0.149,0.00114,0.0333,0.645,168,338,2.59,59.1,0.0000601
"viandes, œufs, poissons","charcuteries","Diot, cru",5.27,8.24e-8,1.17,0.0125,5.77e-7,5.82e-8,3.82e-9,0.0783,0.000727,0.0227,0.335,148,274,1.75,49.1,0.0000215
"viandes, œufs, poissons","charcuteries","Épaule de porc, cuite, choix, découennée dégraissée",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Épaule de porc, cuite, standard, découennée dégraissée",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Filet de bacon",8.36,0.00000221,1.54,0.02,8.63e-7,9.23e-8,5.86e-9,0.116,0.00124,0.0336,0.49,217,404,2.74,78.3,0.0000827
"viandes, œufs, poissons","charcuteries","Foie gras, en bloc",24.7,9.3e-7,13,0.0624,0.00000351,2.39e-7,1.94e-8,0.488,0.0044,0.11,2.11,433,1190,8.54,439,0.0000814
"viandes, œufs, poissons","charcuteries","Foie gras, entier",28.9,0.00000112,14,0.0768,0.00000405,2.82e-7,2.43e-8,0.558,0.005,0.128,2.41,512,1350,9.9,495,0.0000947
"viandes, œufs, poissons","charcuteries","Fromage de tête",5.51,1.55e-7,1.08,0.0147,5.54e-7,5.83e-8,4.79e-9,0.0722,0.000738,0.0208,0.301,140,245,1.66,53.7,0.0000199
"viandes, œufs, poissons","charcuteries","Haché de volaille",7.47,1.52e-7,1.23,0.0279,0.00000145,1.21e-7,8.03e-9,0.196,0.00144,0.0437,0.851,221,446,3.36,83.4,0.0000357
"viandes, œufs, poissons","charcuteries","Jambon à l'os braisé",9.66,0.0000019,2.24,0.0228,0.00000101,1.06e-7,6.8e-9,0.135,0.00142,0.0397,0.576,254,472,3.13,97.5,0.0000765
"viandes, œufs, poissons","charcuteries","Jambon cru",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon cru, fumé",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon cru, fumé, allégé en matière grasse",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon cuit, choix",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, choix, avec couenne",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, choix, découenné dégraissé",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, de Paris, découenné dégraissé",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, fumé",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, supérieur",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, supérieur, à teneur réduite en sel",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, supérieur, avec couenne",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, supérieur, découenné",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon cuit, supérieur, découenné dégraissé",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Jambon de Bayonne",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon de dinde ou Blanc de dinde en tranche",5.9,0.00000141,0.567,0.0218,0.0000011,9.21e-8,6.17e-9,0.149,0.00114,0.0333,0.645,168,339,2.6,58.8,0.0000555
"viandes, œufs, poissons","charcuteries","Jambon de porc à cuire ou Jambon à rôtir/cuire au four",7.12,2.11e-7,1.73,0.0168,7.74e-7,7.79e-8,5.12e-9,0.105,0.00099,0.0307,0.452,199,368,2.31,68.8,0.0000281
"viandes, œufs, poissons","charcuteries","Jambon de poulet ou Blanc de poulet en tranche",5.9,0.00000141,0.567,0.0218,0.0000011,9.21e-8,6.17e-9,0.149,0.00114,0.0333,0.645,168,339,2.6,58.8,0.0000555
"viandes, œufs, poissons","charcuteries","Jambon en croûte",5.89,9.38e-8,1.98,0.014,6.22e-7,7.77e-8,4.32e-9,0.0851,0.000805,0.0264,0.364,147,328,2,67.1,0.0000261
"viandes, œufs, poissons","charcuteries","Jambon sec",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon sec de Parme",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon sec Serrano",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambon sec, découenné, dégraissé",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Jambonneau, cuit",7.65,0.00000151,1.78,0.0181,7.96e-7,8.39e-8,5.39e-9,0.107,0.00113,0.0314,0.456,201,374,2.48,77.4,0.0000607
"viandes, œufs, poissons","charcuteries","Lardon fumé, cru",7.12,0.00000159,1.36,0.0169,7.52e-7,7.87e-8,5.05e-9,0.101,0.00102,0.0293,0.432,191,354,2.32,65.4,0.0000631
"viandes, œufs, poissons","charcuteries","Lardon fumé, cuit",9.08,0.00000201,2.25,0.0217,9.55e-7,1.04e-7,6.48e-9,0.129,0.00132,0.0372,0.546,242,448,2.96,94.5,0.0000838
"viandes, œufs, poissons","charcuteries","Lardon nature, cru",7.12,0.00000159,1.36,0.0169,7.52e-7,7.87e-8,5.05e-9,0.101,0.00102,0.0293,0.432,191,354,2.32,65.4,0.0000631
"viandes, œufs, poissons","charcuteries","Lardon nature, cuit",9.08,0.00000201,2.25,0.0217,9.55e-7,1.04e-7,6.48e-9,0.129,0.00132,0.0372,0.546,242,448,2.96,94.5,0.0000838
"viandes, œufs, poissons","charcuteries","Merguez, boeuf et mouton, crue",40.5,1.87e-7,1.13,0.0639,0.00000474,6.65e-7,1.8e-8,0.697,0.00184,0.139,3.09,205,3470,5.09,86.4,0.0000509
"viandes, œufs, poissons","charcuteries","Merguez, boeuf et mouton, cuite",40.5,1.91e-7,1.67,0.0642,0.00000474,6.69e-7,1.81e-8,0.698,0.00188,0.139,3.09,206,3470,5.12,98.3,0.000055
"viandes, œufs, poissons","charcuteries","Merguez, bœuf, mouton et porc, crue",32.3,1.63e-7,1.18,0.0514,0.00000353,5.03e-7,1.43e-8,0.519,0.00158,0.107,2.3,200,2500,3.97,78.6,0.000045
"viandes, œufs, poissons","charcuteries","Merguez, crue",23.9,1.38e-7,1.22,0.0387,0.00000231,3.38e-7,1.06e-8,0.337,0.00131,0.0754,1.49,195,1530,2.83,70.6,0.0000389
"viandes, œufs, poissons","charcuteries","Merguez, porc et bœuf, crue",23.9,1.38e-7,1.22,0.0387,0.00000231,3.38e-7,1.06e-8,0.337,0.00131,0.0754,1.49,195,1530,2.83,70.6,0.0000389
"viandes, œufs, poissons","charcuteries","Merguez, pur bœuf, crue",31.6,1.42e-7,0.967,0.0478,0.00000298,4.59e-7,1.27e-8,0.441,0.00136,0.0937,1.95,164,2070,2.71,68.2,0.0000408
"viandes, œufs, poissons","charcuteries","Mortadelle",6.91,0.00000151,2.21,0.0168,7.11e-7,8.27e-8,4.9e-9,0.0947,0.00104,0.028,0.401,176,330,2.26,84.4,0.0000644
"viandes, œufs, poissons","charcuteries","Mortadelle pistachée pur porc",6.91,0.00000151,2.21,0.0168,7.11e-7,8.27e-8,4.9e-9,0.0947,0.00104,0.028,0.401,176,330,2.26,84.4,0.0000644
"viandes, œufs, poissons","charcuteries","Mortadelle, porc et boeuf",6.91,0.00000151,2.21,0.0168,7.11e-7,8.27e-8,4.9e-9,0.0947,0.00104,0.028,0.401,176,330,2.26,84.4,0.0000644
"viandes, œufs, poissons","charcuteries","Mortadelle, pur porc",6.91,0.00000151,2.21,0.0168,7.11e-7,8.27e-8,4.9e-9,0.0947,0.00104,0.028,0.401,176,330,2.26,84.4,0.0000644
"viandes, œufs, poissons","charcuteries","Mousse de canard",7.45,2.72e-7,3.45,0.0216,0.00000101,7.98e-8,6.84e-9,0.137,0.00129,0.0325,0.583,138,338,2.59,127,0.0000256
"viandes, œufs, poissons","charcuteries","Mousse de foie de porc",2.99,1.25e-7,0.983,0.0093,2.5e-7,3.35e-8,2.88e-9,0.0297,0.000409,0.0095,0.117,58.1,97.9,0.873,43.3,0.0000105
"viandes, œufs, poissons","charcuteries","Mousse de foie de porc supérieure ou Crème de foie",2.99,1.25e-7,0.983,0.0093,2.5e-7,3.35e-8,2.88e-9,0.0297,0.000409,0.0095,0.117,58.1,97.9,0.873,43.3,0.0000105
"viandes, œufs, poissons","charcuteries","Museau de boeuf en vinaigrette",23.2,1.06e-7,0.746,0.0348,0.00000218,3.36e-7,9.2e-9,0.322,0.000954,0.068,1.43,117,1510,1.93,50.7,0.0000299
"viandes, œufs, poissons","charcuteries","Museau de porc vinaigrette",2.91,5.35e-8,1.16,0.00737,3e-7,3.48e-8,2.04e-9,0.0398,0.000403,0.0114,0.168,74.3,136,0.939,39.8,0.0000155
"viandes, œufs, poissons","charcuteries","Oreille de porc demi-sel",3.61,6.61e-8,1.32,0.00913,3.73e-7,4.24e-8,2.52e-9,0.0496,0.000495,0.0142,0.209,92.7,170,1.17,46.8,0.0000184
"viandes, œufs, poissons","charcuteries","Pancetta ou Poitrine roulée sèche",13.6,0.0000026,5.85,0.0329,0.00000137,1.47e-7,9.63e-9,0.182,0.00226,0.0547,0.768,341,626,4.24,198,0.000104
"viandes, œufs, poissons","charcuteries","Pâté au poivre vert",4.82,1.35e-7,1.27,0.0133,4.81e-7,5.55e-8,4.3e-9,0.0609,0.000677,0.0191,0.253,117,215,1.7,55.6,0.0000176
