"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Agneau","côtelette","grillée","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle"
"Agneau","côtelette, crue",,"kgCO2e/kg de poids net",39.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","côtelette, grillée",,"kgCO2e/kg de poids net",50.1,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","épaule","crue","kgCO2e/kg de poids net",33,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","épaule","maigre, crue","kgCO2e/kg de poids net",33,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","épaule","maigre, rôtie/cuite au four","kgCO2e/kg de poids net",41.7,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Agneau","épaule","rôtie/cuite au four","kgCO2e/kg de poids net",41.7,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Agneau","épaule, crue",,"kgCO2e/kg de poids net",39.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","épaule, maigre, crue",,"kgCO2e/kg de poids net",39.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","épaule, maigre, rôtie/cuite au four",,"kgCO2e/kg de poids net",50.1,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","épaule, rôtie/cuite au four",,"kgCO2e/kg de poids net",50.1,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","gigot","braisé","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Agneau","gigot","cru","kgCO2e/kg de poids net",41.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","gigot","grillé/poêlé","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle"
"Agneau","gigot","rôti/cuit au four","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Agneau","gigot, braisé",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","gigot, cru",,"kgCO2e/kg de poids net",49.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","gigot, grillé/poêlé",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","gigot, rôti/cuit au four",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","selle","crue","kgCO2e/kg de poids net",41.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","selle","partie maigre, grillée/poêlée","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle"
"Agneau","selle","partie maigre, rôtie/cuite au four","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Agneau","selle, crue",,"kgCO2e/kg de poids net",49.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","selle, partie maigre, grillée/poêlée",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","selle, partie maigre, rôtie/cuite au four",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau système de production conventionnel","intérieur","à la ferme/FR U","kgCO2e/kg de poids vif",16.3,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Ail","cru",,"kgCO2e/kg de poids net",0.375,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Ail","cru",,"kgCO2e/kg de poids net",0.356,,,,,"France continentale","2023-03-16","2024-05-17",,3.5,"Livraison : Ambiant (long) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Ail séché","poudre",,"kgCO2e/kg de poids net",0.821,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Ail séché","poudre",,"kgCO2e/kg de poids net",0.749,,,,,"France continentale","2023-03-16","2024-05-17",,4.1,"Livraison : Ambiant (long) - Matériau d'emballage : Verre - Préparation : Pas de préparation"
"Aimant","AlNiCo",,"kgCO2e/kg",25.9,24.2,1.37,0.249,0.0891,"Monde","2014-11-06","2014-11-06",,,
"Aimant","NdFeB",,"kgCO2e/kg",33.3,30.7,2.26,0.353,0.000201,"Monde","2014-11-06","2014-11-06",,,
"Albacore","biologique, système n ° 1","Sortie de bateau","kgCO2e/kg de poids vif",4.25,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Alcool",,,"kgCO2e/tonne",1467,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Alcool fort",,,"kgCO2e/kg de poids net",1.15,,,,,"France continentale","2021-03-04","2024-05-17",,,"Alcool fort de tout type : eau de vie, armagnac, whisky, rhum, vodka, gin, pastis, saké"
"Alcool pur",,,"kgCO2e/kg de poids net",1.16,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Alcool pur",,,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,3.3,"Livraison : Ambiant (long) - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"Algue","crue ou séchée ou déshydratée",,"kgCO2e/kg de poids net",6.55,,,,,"France continentale","2021-03-04","2024-05-17",,,"Algues, tout type"
"Algue","de l'association de cultures, biologique, système n ° 1","Production optimisée","kgCO2e/kg de poids vif",0.106,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Algue","de l'association de cultures, biologique, système n ° 2","Production non optimisée","kgCO2e/kg de poids vif",0.918,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Algue production non optimisée","1 kg d'algues (Laminaria)","poids frais/FR U","kgCO2e/kg de poids vif",0.847,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Algue production optimisée","1 kg d'algues (Laminaria)","poids frais/FR U","kgCO2e/kg",0.101,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Aligot (purée de pomme de terre à la tomme fraîche)",,,"kgCO2e/kg de poids net",4.05,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Aligot (purée de pomme de terre à la tomme fraîche)",,,"kgCO2e/kg de poids net",3.05,,,,,"France continentale","2023-03-16","2024-05-17",,2.3,"Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde"
"Alimentation",,"Régime alimentaire ""classique""","kgCO2e/personne.mois",136,,,,,"France continentale","2018-09-18","2018-09-18",,,
"Alimentation",,"Régime alimentaire ""flexitarien""","kgCO2e/personne.mois",85.7,,,,,"France continentale","2018-09-18","2018-09-18",,,
"Allyl ether",,"PRG à 100 ans","kgCO2e/kg",0,,,,,"Monde","2023-08-23","2023-08-23",,,
"Allyl ethyl ether",,"PRG à 100 ans","kgCO2e/kg",0,,,,,"Monde","2023-08-23","2023-08-23",,,
"Aluminium",,"neuf","kgCO2e/tonne",9827,,,,,"France continentale","2014-11-05","2018-09-18",,,
"Aluminium",,"neuf","kgCO2e/tonne",7803,,,,,"France continentale","2018-09-18","2018-09-18",,,
"Aluminium",,"recyclé","kgCO2e/tonne",513,,,,,"France continentale","2014-11-05","2018-09-18",,,
"Aluminium",,"recyclé","kgCO2e/tonne",562,,,,,"France continentale","2018-09-18","2018-09-18",,,
"Aluminium primaire","produit en France","Plaque, lingot, barres. Alliés ou non-alliés.","kgCO2e/tonne",5193,,,,,"France continentale","2023-03-16","2023-03-16",,,"Production de lingots, plaques et barres par electrolyse à partir d'Alumine (données 2020)"
"Amande (avec peau)",,,"kgCO2e/kg de poids net",2.7,,,,,"France continentale","2023-03-16","2024-05-17",,3.2,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Amande",,,"kgCO2e/kg de poids net",5.76,,,,,"France continentale","2021-03-04","2024-05-17",,,"Amande toute forme"
"Amande","grillée","salée","kgCO2e/kg de poids net",2.7,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Amande","mondée","émondée ou blanchie","kgCO2e/kg de poids net",2.7,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Amarante","crue",,"kgCO2e/kg de poids net",0.872,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Amarante","crue",,"kgCO2e/kg de poids net",1.16,,,,,"France continentale","2023-03-16","2024-05-17",,3.6,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Amidon de maïs ou fécule de maïs",,,"kgCO2e/kg de poids net",1.22,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Amidon de maïs ou fécule de maïs",,,"kgCO2e/kg de poids net",1.08,,,,,"France continentale","2023-03-16","2024-05-17",,3.2,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"Ammoniaque anhydre",,,"kgCO2e/tonne de N",2967,2769,195,2.73,0,"Europe","2014-11-05","2014-11-05",,,
"Ammonitrate",,"0,335","kgCO2e/tonne de N",2588,2569,6.51,12,0,"Europe","2014-11-05","2022-03-28",,,
"Ammonitrate",,"0,335","kgCO2e/tonne de N",3785,3370,2.93,412,0,"Europe","2022-03-28","2022-03-28",,,
"Ammonitrate",,"calcaire 30% (CAN)","kgCO2e/tonne de N",2846,2799,6.51,12,0,"Europe","2014-11-05","2022-03-28",,,
"Ammonitrate",,"calcaire 30% (CAN)","kgCO2e/tonne de N",3968,3560,3.74,404,0,"Europe","2022-03-28","2022-03-28",,,
"Ananas","la production mixte","moyenne île de la Réunion, sur le site de production/RE U","kgCO2e/kg",0.868,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Ananas","MedSea, palangre, moyenne","Sur le site de production","kgCO2e/kg",0.334,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Ananas","pulpe","cru","kgCO2e/kg de poids net",1.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"Ananas","pulpe, cru",,"kgCO2e/kg de poids net",1.15,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Ananas au sirop et jus d'ananas","appertisé","égoutté","kgCO2e/kg de poids net",1.43,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Ananas au sirop et jus d'ananas","appertisé","non égoutté","kgCO2e/kg de poids net",0.866,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Ananas au sirop et jus d'ananas","appertisé, égoutté",,"kgCO2e/kg de poids net",1.52,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Ananas au sirop et jus d'ananas","appertisé, non égoutté",,"kgCO2e/kg de poids net",0.802,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Ananas au sirop léger","appertisé","égoutté","kgCO2e/kg de poids net",1.44,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Ananas au sirop léger","appertisé","non égoutté","kgCO2e/kg de poids net",0.866,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Ananas au sirop léger","appertisé, égoutté",,"kgCO2e/kg de poids net",1.52,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Ananas au sirop léger","appertisé, non égoutté",,"kgCO2e/kg de poids net",0.802,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Anchois","filets à l'huile","semi-conserve, égoutté","kgCO2e/kg de poids net",1.77,,,,,"France continentale","2023-03-16","2024-05-17",,3.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Anchois","filets à l'huile, semi-conserve, égoutté",,"kgCO2e/kg de poids net",1.97,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Anchois","filets roulés aux câpres","semi-conserve, égoutté","kgCO2e/kg de poids net",1.77,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Anchois","filets roulés aux câpres, semi-conserve, égoutté",,"kgCO2e/kg de poids net",1.97,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Anchois au sel (anchoité","semi-conserve)",,"kgCO2e/kg de poids net",2.16,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Anchois au sel (anchoité","semi-conserve)",,"kgCO2e/kg de poids net",2.15,,,,,"France continentale","2023-03-16","2024-05-17",,3.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Anchois commun","cru",,"kgCO2e/kg de poids net",2.16,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Anchois commun","cru",,"kgCO2e/kg de poids net",2.15,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Anchois commun","mariné",,"kgCO2e/kg de poids net",2.02,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Anchois commun","mariné",,"kgCO2e/kg de poids net",1.81,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Anchois européen","biologique, système n ° 1","Sortie de bateau","kgCO2e/kg de poids vif",0.45,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Anchois européenne","la CEA","la Seine, moyenne, au débarquement/MA U","kgCO2e/kg de poids vif",0.443,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Andouille",,,"kgCO2e/kg de poids net",16.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Andouille","réchauffée à la poêle",,"kgCO2e/kg de poids net",16.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Andouille de Guéméné",,,"kgCO2e/kg de poids net",16.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Andouille de Vire",,,"kgCO2e/kg de poids net",16.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Andouillette","crue",,"kgCO2e/kg de poids net",16.1,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Andouillette","sautée/poêlée",,"kgCO2e/kg de poids net",16.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Andouillette de Troyes","crue",,"kgCO2e/kg de poids net",16.1,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Andouillette/Andouille",,,"kgCO2e/kg de poids net",16,,,,,"France continentale","2021-03-04","2024-05-17",,,"Andouillette et andouille, de tout type"
"Aneth","frais",,"kgCO2e/kg de poids net",0.815,,,,,"France continentale","2023-03-16","2024-05-17",,3.8,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Anthracite",,,"kgCO2e/GJ PCI",107,102,5.33,0.41,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/GJ PCI",98.7,98.3,0.0279,0.41,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/GJ PCI",8.6,3.3,5.3,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kg",2.86,2.71,0.139,0.0109,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kg",2.63,2.62,0.000745,0.0109,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kg",0.226,0.0881,0.138,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kWh PCI",0.389,0.366,0.0196,0.00295,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kWh PCI",0.358,0.354,0.001,0.00295,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kWh PCI",0.0305,0.0119,0.0186,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kWh PCI",0.387,0.366,0.0187,0.00147,0,"France continentale","2014-10-17","2015-07-23","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kWh PCI",0.356,0.354,0.0001,0.00147,0,"France continentale","2014-10-17","2015-07-23","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/kWh PCI",0.0305,0.0119,0.0186,0,0,"France continentale","2014-10-17","2015-07-23","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tep PCI",4526,4263,229,34.4,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tep PCI",4170,4124,11.7,34.4,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tep PCI",356,139,217,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tep PCI",4504,4269,218,17.2,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tep PCI",4147,4130,0,17.2,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tep PCI",357,139,218,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tonne",2877,2710,145,21.9,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tonne",2651,2622,7.45,21.9,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/tonne",226,88.1,138,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/GJ PCI",108,102,5.44,0.819,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/GJ PCI",99.3,98.2,0.279,0.819,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,,"kgCO2e/GJ PCI",8.46,3.3,5.16,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Anthracite",,"PCI","GJ / tonne",26.7,,,,,"France continentale","2014-10-02","2014-10-02",,,
"Anthracite",,"PCI","GJ / tonne",26.7,,,,,"Europe","2014-10-02","2014-10-02",,,
"Ao-nori (Enteromorpha sp.)","séchée ou déshydratée",,"kgCO2e/kg de poids net",6.77,,,,,"France continentale","2023-03-16","2024-05-17",,3,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
